"Data operação","Categoria","Código Ativo","Operação C/V","Quantidade","Preço unitário","Corretora"
"2024-01-02","FII","CPFF11","Compra","1.00000000","77.10000000","investidor10"
"2024-01-02","FII","LGCP11","Compra","3.00000000","89.70000000","investidor10"
"2024-01-02","FII","LGCP11","Compra","4.00000000","89.69000000","investidor10"
"2024-01-02","FII","MXRF11","Compra","23.00000000","10.49000000","investidor10"
"2024-01-02","FII","RBRR11","Compra","2.00000000","89.27000000","investidor10"
"2023-09-21","FII","MXRF11","Compra","13.00000000","10.97000000","investidor10"
"2023-09-21","FII","RBRR11","Compra","2.00000000","89.55000000","investidor10"
"2023-09-05","FII","LGCP11","Compra","1.00000000","87.20000000","investidor10"
"2023-08-14","BDR","NUBR33","Venda","160.00000000","8.36000000","investidor10"
"2023-08-14","BDR","ROXO34","Compra","160.00000000","8.36000000","investidor10"
"2023-08-08","FII","MXRF11","Compra","6.00000000","10.61000000","investidor10"
"2023-07-27","FII","MXRF11","Compra","71.00000000","10.53000000","investidor10"
"2023-07-27","FII","RBRR11","Compra","4.00000000","91.50000000","investidor10"
"2023-06-26","FII","MXRF11","Compra","8.00000000","10.77000000","investidor10"
"2023-06-19","FII","MXRF11","Compra","21.00000000","10.94000000","investidor10"
"2023-04-18","FII","VILG11","Compra","3.00000000","89.82000000","investidor10"
"2023-04-18","FII","CPFF11","Compra","4.00000000","58.98000000","investidor10"
"2023-04-14","FII","ITIT11","Compra","3.00000000","71.80000000","investidor10"
"2023-04-14","FII","VISC11","Compra","2.00000000","105.79000000","investidor10"
"2023-04-14","FII","VINO11","Compra","5.00000000","41.64000000","investidor10"
"2023-03-21","FII","RBRR11","Compra","3.00000000","85.06000000","investidor10"
"2023-03-21","FII","ITIT11","Compra","2.00000000","70.93000000","investidor10"
"2023-03-21","FII","LGCP11","Compra","1.00000000","72.62000000","investidor10"
"2023-03-21","FII","LGCP11","Compra","1.00000000","72.59000000","investidor10"
"2023-03-21","FII","LGCP11","Compra","1.00000000","72.58000000","investidor10"
"2023-01-06","FII","LGCP11","Compra","3.00000000","81.56000000","investidor10"
"2023-01-06","FII","RBRR11","Compra","3.00000000","88.80000000","investidor10"
"2023-01-06","FII","HGRE11","Compra","2.00000000","116.27000000","investidor10"
"2022-11-03","FII","HGRE11","Compra","2.00000000","138.08000000","investidor10"
"2022-11-03","FII","LGCP11","Compra","3.00000000","85.27000000","investidor10"
"2022-11-03","FII","VILG11","Compra","3.00000000","108.19000000","investidor10"
"2022-11-03","FII","ITIT11","Compra","4.00000000","82.00000000","investidor10"
"2022-11-03","FII","RBRR11","Compra","3.00000000","90.34000000","investidor10"
"2022-11-03","FII","VISC11","Compra","3.00000000","113.02000000","investidor10"
"2022-06-20","Ações","BIDI11","Venda","18.00000000","51.21555556","investidor10"
"2022-06-20","BDR","INBR32","Compra","9.00000000","102.43111111","investidor10"
"2021-12-08","BDR","NUBR33","Compra","160.00000000","8.36000000","investidor10"
"2021-11-25","FII","PVBI11","Venda","6.00000000","80.45000000","investidor10"
"2021-11-25","FII","VILG11","Venda","5.00000000","89.98000000","investidor10"
"2021-11-25","FII","HSML11","Venda","5.00000000","70.49000000","investidor10"
"2021-06-11","Ações","BIDI11","Compra","6.00000000","64.98000000","investidor10"
"2021-01-21","FII","HSML11","Compra","2.00000000","97.79000000","investidor10"
"2021-01-21","FII","HSML11","Compra","3.00000000","97.77000000","investidor10"
"2021-01-21","FII","VILG11","Compra","5.00000000","121.69000000","investidor10"
"2021-01-21","FII","CPFF11","Compra","6.00000000","80.50000000","investidor10"
"2021-01-21","FII","PVBI11","Compra","6.00000000","94.20000000","investidor10"
"2021-01-21","FII","VINO11","Compra","7.00000000","62.11000000","investidor10"
"2021-01-19","Ações","BIDI11","Compra","4.00000000","133.00000000","investidor10"
